{5.9354988897534495, 2.592786884477688*^9, 7.325569749988632*^12}	{5.9354988897534495, 0.0033476822935895535, 0.00467644570588212}	{5.9354988897534495, 43.67867144666624, 52.26133135000844}
{5.935357528097695, 1.6196489846769352*^9, 5.1190113492161455*^12}	{5.935357528097695, 0.004053131264304346, 0.004251599474671683}	{5.935357528097695, 43.51864765304173, 277.94175971908345}
{5.925594357048451, 2.624553176645825*^9, 7.449485247427478*^12}	{5.925594357048451, 0.0033654009574683283, 0.004654848585664469}	{5.925594357048451, 43.66559957532768, 52.99770108278501}
{5.920937425183149, 2.6446478255433593*^9, 7.519849608061125*^12}	{5.920937425183149, 0.0033675087372113206, 0.004653449337833181}	{5.920937425183149, 43.64462726398993, 53.04797746239887}
{5.90875413594802, 1.6321132982535493*^9, 3.417026982675538*^12}	{5.90875413594802, 0.0030358031280810593, 0.004428563240421784}	{5.90875413594802, 46.046905706190145, 316.64478460431735}
{5.899320894226653, 2.6351346639663496*^9, 7.479975972587583*^12}	{5.899320894226653, 0.0033559356563945737, 0.004666574192933011}	{5.899320894226653, 43.663777232296795, 52.59504728448339}
{5.883602806369677, 2.6878718412358074*^9, 7.589088640323691*^12}	{5.883602806369677, 0.0033954662280905688, 0.004616641848830927}	{5.883602806369677, 43.63961693703481, 54.31988117949912}
{5.861540084949446, 2.673113555034672*^9, 7.55018791544736*^12}	{5.861540084949446, 0.003361418998686201, 0.004664645965336649}	{5.861540084949446, 43.640229455892154, 52.740358236707486}
{5.85945426897223, 2.675776875419276*^9, 7.562852359809807*^12}	{5.85945426897223, 0.003361729830753257, 0.004661880344952612}	{5.85945426897223, 43.64028219583818, 52.79634207825275}
{5.843904264001726, 2.1306707818845813*^9, 6.683367332758016*^12}	{5.843904264001726, 0.0036777685875761137, 0.004822621898888354}	{5.843904264001726, 43.56704357177839, 51.28455887203718}
{5.538547413559594, 1.1693922822182353*^9, 2.3955110459208223*^12}	{5.538547413559594, 0.003268191475761783, 0.004673637877453374}	{5.538547413559594, 44.701182412752026, 315.69661054586084}
{5.479709027988928, 3.7882644713085465*^9, 7.379194532806463*^12}	{5.479709027988928, 0.00439679560763964, 0.004670681843823609}	{5.479709027988928, 43.22475968762427, 98.27588752821697}
{5.287709439597621, 2.641141584768275*^9, 7.103404609912838*^12}	{5.287709439597621, 0.003177458670858322, 0.004954664482363375}	{5.287709439597621, 44.18161999527668, 43.877609271683106}
{5.1932062916359225, 2.3888062625321937*^9, 6.91059453851118*^12}	{5.1932062916359225, 0.0033194038200976502, 0.004982730361157888}	{5.1932062916359225, 43.490416015850585, 314.7707219668089}
{4.328013732890945, 7.435974794086697*^8, 2.3682800581628076*^12}	{4.328013732890945, 0.004326544783076213, 0.0044540906809212195}	{4.328013732890945, 42.66019478561483, 86.54901224679556}
{4.0055102296520095, 1.7008105773306148*^9, 4.1683501244936987*^12}	{4.0055102296520095, 0.004261440420276879, 0.004364591720116764}	{4.0055102296520095, 43.534991013869956, 269.3475575870091}
{3.93510729202727, 1.1610942941964586*^9, 3.1221277173560586*^12}	{3.93510729202727, 0.004216414786577402, 0.00451649448339533}	{3.93510729202727, 43.29838055980178, 288.36143888878036}
{3.913549875765658, 9.248488243602458*^8, 2.6133787574478223*^12}	{3.913549875765658, 0.003645450881902591, 0.004503290053926721}	{3.913549875765658, 43.07990402213813, 58.96828759766814}
{3.9042806653330757, 1.182837410817285*^9, 3.1574226628157603*^12}	{3.9042806653330757, 0.004260414801233437, 0.004524370391617918}	{3.9042806653330757, 43.24142483949395, 286.96390857828567}
{3.8816764939899584, 1.1633575666121995*^9, 3.101313217367477*^12}	{3.8816764939899584, 0.004238391737348015, 0.0045187254547034}	{3.8816764939899584, 43.27754332317939, 287.62032797265056}
{3.8652554198239146, 1.1443262766946232*^9, 3.0654127084268306*^12}	{3.8652554198239146, 0.004238449441321464, 0.0045120698348860054}	{3.8652554198239146, 43.3004199425525, 287.3905753038717}
{3.8510281861386226, 1.1424443644366527*^9, 3.063256898611469*^12}	{3.8510281861386226, 0.0042570923371325585, 0.004514757332079702}	{3.8510281861386226, 43.30113715861687, 286.74860880098413}
{3.8118824689130237, 1.1519872801910536*^9, 3.0759275486814346*^12}	{3.8118824689130237, 0.004306798021477883, 0.004526354483356964}	{3.8118824689130237, 43.27049033356673, 285.14935867916705}
{3.6934923716850587, 8.717460089226959*^8, 1.9394025204948767*^12}	{3.6934923716850587, 0.004209644984160837, 0.0043874810703012305}	{3.6934923716850587, 43.02653214381509, 84.52693842290081}
{3.6613997627472976, 1.1259599835817027*^9, 2.5157714785866655*^12}	{3.6613997627472976, 0.004818652465047374, 0.0049390688101580765}	{3.6613997627472976, 43.21969737482497, 263.28050792354486}
{3.287490696887301, 2.3553168140060196*^9, 5.103279892216407*^12}	{3.287490696887301, 0.003700403108796944, 0.004441431514592025}	{3.287490696887301, 43.75380632693882, 293.7626164835022}
{2.98262662475877, 2.590271283059*^9, 5.050501060611933*^12}	{2.98262662475877, 0.003675593328184467, 0.004516466855032344}	{2.98262662475877, 43.794469520469555, 295.7535823923532}
{2.837825873255419, 4.907002967495395*^9, 7.642217384053825*^12}	{2.837825873255419, 0.003341860322835313, 0.005008555879857856}	{2.837825873255419, 43.28633988415081, 37.869166335569886}
